origin,destination,operator,date,hour,month,day_of_week,scheduled_departure,mins_late,cancelled
Birmingham New St,London Euston,Avanti West Coast,2024-09-10,19,9,Tuesday,1915,4,False
London Victoria,Gatwick Airport,Southern,2024-05-23,19,5,Thursday,1930,8,False
London Waterloo,Southampton Central,South Western Railway,2024-05-03,17,5,Friday,1745,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-17,18,8,Saturday,1800,0,False
London Waterloo,Southampton Central,South Western Railway,2024-12-05,15,12,Thursday,1545,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-29,17,6,Saturday,1730,5,False
London Waterloo,Southampton Central,South Western Railway,2024-03-02,17,3,Saturday,1715,3,False
London Victoria,Gatwick Airport,Southern,2024-11-01,8,11,Friday,0800,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-06-03,0,6,Monday,0015,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-23,21,12,Monday,2145,0,True
London Victoria,Gatwick Airport,Southern,2024-09-02,11,9,Monday,1115,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-03,10,2,Saturday,1000,0,False
London Kings Cross,Leeds,LNER,2024-10-15,21,10,Tuesday,2100,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-09-24,9,9,Tuesday,0945,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-18,16,10,Friday,1600,4,False
London Waterloo,Southampton Central,South Western Railway,2024-12-04,4,12,Wednesday,0415,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-18,17,8,Sunday,1745,2,False
London Victoria,Gatwick Airport,Southern,2024-02-06,17,2,Tuesday,1730,9,False
London Waterloo,Southampton Central,South Western Railway,2024-02-28,14,2,Wednesday,1415,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-25,18,3,Monday,1830,2,False
London Victoria,Gatwick Airport,Southern,2024-05-19,13,5,Sunday,1345,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-05,8,11,Tuesday,0800,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-22,2,10,Tuesday,0215,0,False
London Victoria,Gatwick Airport,Southern,2024-10-26,11,10,Saturday,1145,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-06-13,17,6,Thursday,1715,0,False
London Victoria,Gatwick Airport,Southern,2024-10-08,2,10,Tuesday,0200,10,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-01,17,1,Monday,1745,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-16,11,11,Saturday,1100,4,False
London Victoria,Gatwick Airport,Southern,2024-12-23,12,12,Monday,1200,8,False
London Waterloo,Southampton Central,South Western Railway,2024-06-08,14,6,Saturday,1445,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-01,16,3,Friday,1615,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-07-31,18,7,Wednesday,1845,8,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-02,13,11,Saturday,1315,3,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-09-16,8,9,Monday,0800,6,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-16,14,8,Friday,1430,9,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-06-13,19,6,Thursday,1915,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-06-11,17,6,Tuesday,1745,0,False
London Kings Cross,Leeds,LNER,2024-01-19,6,1,Friday,0630,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-09-26,20,9,Thursday,2000,2,False
London Kings Cross,Leeds,LNER,2024-08-28,18,8,Wednesday,1830,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-11,19,12,Wednesday,1945,7,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-19,16,1,Friday,1615,0,False
London Waterloo,Southampton Central,South Western Railway,2024-08-10,22,8,Saturday,2200,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-15,18,6,Saturday,1830,2,False
London Waterloo,Southampton Central,South Western Railway,2024-07-29,15,7,Monday,1515,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-09-11,20,9,Wednesday,2015,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-07,0,12,Saturday,0045,1,False
London Kings Cross,Leeds,LNER,2024-08-14,21,8,Wednesday,2130,11,False
London Victoria,Gatwick Airport,Southern,2024-06-03,7,6,Monday,0745,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-21,8,10,Monday,0830,72,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-26,18,5,Sunday,1815,4,False
London Waterloo,Southampton Central,South Western Railway,2024-12-13,18,12,Friday,1815,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-13,1,8,Tuesday,0130,14,False
London Victoria,Gatwick Airport,Southern,2024-07-31,7,7,Wednesday,0715,13,False
Birmingham New St,London Euston,Avanti West Coast,2024-09-13,20,9,Friday,2015,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-22,18,6,Saturday,1845,2,False
London Waterloo,Southampton Central,South Western Railway,2024-10-12,9,10,Saturday,0945,89,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-26,9,10,Saturday,0930,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-16,20,6,Sunday,2015,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-28,10,11,Thursday,1015,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-19,7,2,Monday,0715,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-27,17,10,Sunday,1715,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-23,1,5,Thursday,0130,1,False
London Waterloo,Southampton Central,South Western Railway,2024-02-20,22,2,Tuesday,2230,9,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-22,8,7,Monday,0800,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-24,16,11,Sunday,1600,0,False
London Kings Cross,Leeds,LNER,2024-02-05,18,2,Monday,1815,2,False
London Waterloo,Southampton Central,South Western Railway,2024-03-16,18,3,Saturday,1800,16,False
London Kings Cross,Leeds,LNER,2024-05-08,18,5,Wednesday,1800,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-01,15,5,Wednesday,1500,4,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-02-28,18,2,Wednesday,1845,5,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-14,7,9,Saturday,0700,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-22,16,8,Thursday,1600,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-12-17,5,12,Tuesday,0545,1,False
London Kings Cross,Leeds,LNER,2024-03-05,8,3,Tuesday,0830,4,False
London Victoria,Gatwick Airport,Southern,2024-09-15,16,9,Sunday,1600,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-08,11,8,Thursday,1115,3,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-02-18,8,2,Sunday,0830,0,False
London Kings Cross,Leeds,LNER,2024-02-04,5,2,Sunday,0500,7,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-11,3,10,Friday,0330,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-27,16,5,Monday,1630,0,False
London Kings Cross,Leeds,LNER,2024-04-24,19,4,Wednesday,1930,0,False
London Victoria,Gatwick Airport,Southern,2024-08-07,19,8,Wednesday,1900,3,False
London Victoria,Gatwick Airport,Southern,2024-04-02,8,4,Tuesday,0830,4,False
London Kings Cross,Leeds,LNER,2024-10-16,17,10,Wednesday,1700,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-28,7,9,Saturday,0745,2,False
London Victoria,Gatwick Airport,Southern,2024-10-17,15,10,Thursday,1500,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-19,11,5,Sunday,1145,4,False
London Victoria,Gatwick Airport,Southern,2024-09-19,6,9,Thursday,0645,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-07,8,12,Saturday,0815,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-03,21,6,Monday,2115,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-11,18,9,Wednesday,1815,11,False
London Waterloo,Southampton Central,South Western Railway,2024-10-13,18,10,Sunday,1830,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-10,12,1,Wednesday,1200,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-28,6,5,Tuesday,0600,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-15,11,2,Thursday,1100,10,False
Edinburgh Waverley,Glasgow Central,LNER,2024-07-21,19,7,Sunday,1930,8,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-20,6,11,Wednesday,0615,1,False
London Kings Cross,Leeds,LNER,2024-02-22,7,2,Thursday,0715,4,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-17,13,11,Sunday,1345,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-03-18,11,3,Monday,1145,3,False
London Victoria,Gatwick Airport,Southern,2024-06-29,13,6,Saturday,1330,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-02-09,16,2,Friday,1600,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-22,11,1,Monday,1115,0,False
London Kings Cross,Leeds,LNER,2024-08-18,5,8,Sunday,0530,9,False
London Kings Cross,Leeds,LNER,2024-05-06,17,5,Monday,1745,9,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-24,10,5,Friday,1030,4,False
Birmingham New St,London Euston,Avanti West Coast,2024-06-17,5,6,Monday,0545,1,False
London Kings Cross,Leeds,LNER,2024-02-11,15,2,Sunday,1515,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-31,17,10,Thursday,1700,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-09,17,12,Monday,1700,9,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-04,8,7,Thursday,0815,8,False
London Waterloo,Southampton Central,South Western Railway,2024-03-11,7,3,Monday,0730,6,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-20,17,1,Saturday,1715,4,False
London Kings Cross,Leeds,LNER,2024-08-12,2,8,Monday,0230,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-17,7,8,Saturday,0715,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-07-07,17,7,Sunday,1745,9,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-09-27,11,9,Friday,1115,3,False
London Kings Cross,Leeds,LNER,2024-01-27,16,1,Saturday,1630,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-05-25,4,5,Saturday,0415,0,False
London Kings Cross,Leeds,LNER,2024-02-16,21,2,Friday,2115,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-28,10,1,Sunday,1030,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-01-15,8,1,Monday,0800,0,False
London Kings Cross,Leeds,LNER,2024-01-20,8,1,Saturday,0845,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-11,0,11,Monday,0000,51,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-04,6,8,Sunday,0630,4,False
London Waterloo,Southampton Central,South Western Railway,2024-11-23,18,11,Saturday,1845,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-09,16,1,Tuesday,1615,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-03,15,5,Friday,1515,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-09-26,14,9,Thursday,1400,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-09,18,5,Thursday,1830,5,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-09,2,3,Saturday,0230,4,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-19,7,11,Tuesday,0715,7,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-30,7,5,Thursday,0715,4,False
London Victoria,Gatwick Airport,Southern,2024-07-22,23,7,Monday,2345,3,False
London Waterloo,Southampton Central,South Western Railway,2024-07-01,19,7,Monday,1900,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-11,19,8,Sunday,1945,1,False
London Kings Cross,Leeds,LNER,2024-12-20,13,12,Friday,1330,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-04,23,11,Monday,2315,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-04,8,12,Wednesday,0845,14,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-16,2,8,Friday,0230,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-09,16,12,Monday,1630,8,False
London Kings Cross,Leeds,LNER,2024-03-14,19,3,Thursday,1945,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-15,21,7,Monday,2100,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-15,18,8,Thursday,1815,2,False
London Victoria,Gatwick Airport,Southern,2024-02-28,1,2,Wednesday,0115,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-05-14,18,5,Tuesday,1845,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-03-03,6,3,Sunday,0600,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-15,22,12,Sunday,2230,5,False
Edinburgh Waverley,Glasgow Central,LNER,2024-05-28,20,5,Tuesday,2015,1,False
London Kings Cross,Leeds,LNER,2024-09-17,7,9,Tuesday,0715,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-07-03,14,7,Wednesday,1430,4,False
London Kings Cross,Leeds,LNER,2024-02-03,8,2,Saturday,0845,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-06-11,16,6,Tuesday,1645,11,False
London Kings Cross,Leeds,LNER,2024-11-23,15,11,Saturday,1515,12,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-22,7,9,Sunday,0715,9,False
London Waterloo,Southampton Central,South Western Railway,2024-09-22,20,9,Sunday,2000,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-05,16,3,Tuesday,1600,0,False
London Kings Cross,Leeds,LNER,2024-12-03,16,12,Tuesday,1630,10,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-24,21,1,Wednesday,2130,2,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-09-11,19,9,Wednesday,1930,13,False
London Waterloo,Southampton Central,South Western Railway,2024-06-01,11,6,Saturday,1100,13,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-23,16,6,Sunday,1630,7,False
Birmingham New St,London Euston,Avanti West Coast,2024-03-07,18,3,Thursday,1800,1,False
London Victoria,Gatwick Airport,Southern,2024-05-06,6,5,Monday,0600,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-03-22,18,3,Friday,1830,7,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-12,19,9,Thursday,1945,71,False
London Waterloo,Southampton Central,South Western Railway,2024-10-25,9,10,Friday,0900,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-10-01,0,10,Tuesday,0000,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-06,2,7,Saturday,0200,11,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-07,10,2,Wednesday,1045,4,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-02-19,10,2,Monday,1030,3,False
London Kings Cross,Leeds,LNER,2024-11-04,13,11,Monday,1300,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-09-22,12,9,Sunday,1215,3,False
London Kings Cross,Leeds,LNER,2024-11-11,17,11,Monday,1730,18,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-07,17,9,Saturday,1730,0,True
Birmingham New St,London Euston,Avanti West Coast,2024-08-01,15,8,Thursday,1500,2,False
London Waterloo,Southampton Central,South Western Railway,2024-10-25,12,10,Friday,1245,8,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-04-07,1,4,Sunday,0130,5,False
London Waterloo,Southampton Central,South Western Railway,2024-09-13,18,9,Friday,1845,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-22,7,9,Sunday,0730,4,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-03-29,12,3,Friday,1230,1,False
London Victoria,Gatwick Airport,Southern,2024-04-08,21,4,Monday,2130,1,False
London Victoria,Gatwick Airport,Southern,2024-12-26,7,12,Thursday,0745,6,False
London Victoria,Gatwick Airport,Southern,2024-03-03,15,3,Sunday,1545,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-28,2,5,Tuesday,0200,8,False
London Victoria,Gatwick Airport,Southern,2024-04-19,7,4,Friday,0730,9,False
London Kings Cross,Leeds,LNER,2024-11-11,17,11,Monday,1715,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-22,7,11,Friday,0700,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-01-03,22,1,Wednesday,2215,6,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-29,7,11,Friday,0730,4,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-30,17,9,Monday,1700,4,False
London Kings Cross,Leeds,LNER,2024-07-22,18,7,Monday,1815,6,False
London Victoria,Gatwick Airport,Southern,2024-01-05,8,1,Friday,0800,8,False
London Paddington,Cardiff Central,Great Western Railway,2024-09-25,13,9,Wednesday,1315,1,False
London Waterloo,Southampton Central,South Western Railway,2024-06-18,7,6,Tuesday,0745,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-31,15,5,Friday,1515,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-09-20,9,9,Friday,0945,3,False
London Kings Cross,Leeds,LNER,2024-06-14,21,6,Friday,2100,0,False
London Victoria,Gatwick Airport,Southern,2024-06-03,15,6,Monday,1500,2,False
London Waterloo,Southampton Central,South Western Railway,2024-12-07,6,12,Saturday,0630,3,False
London Victoria,Gatwick Airport,Southern,2024-11-23,20,11,Saturday,2030,1,False
London Kings Cross,Leeds,LNER,2024-03-19,12,3,Tuesday,1230,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-06,18,12,Friday,1815,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-16,14,8,Friday,1430,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-15,7,9,Sunday,0715,6,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-14,7,12,Saturday,0745,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-08,13,3,Friday,1345,0,False
London Victoria,Gatwick Airport,Southern,2024-07-21,8,7,Sunday,0800,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-25,17,6,Tuesday,1700,5,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-26,10,5,Sunday,1015,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-07-14,11,7,Sunday,1145,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-30,19,11,Saturday,1900,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-04-24,18,4,Wednesday,1800,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-29,9,9,Sunday,0915,3,False
London Victoria,Gatwick Airport,Southern,2024-02-27,1,2,Tuesday,0145,3,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-04-15,3,4,Monday,0300,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-23,10,1,Tuesday,1015,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-14,23,9,Saturday,2315,14,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-01,8,5,Wednesday,0815,2,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-20,3,5,Monday,0315,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-25,21,6,Tuesday,2145,6,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-03-17,8,3,Sunday,0815,1,False
